Green beige,190,189,127
Beige,194,176,120
Sand yellow,198,166,100
Signal yellow,229,190,1
Golden yellow,205,164,52
Honey yellow,169,131,7
Maize yellow,228,160,16
Daffodil yellow,220,156,0
Brown beige,138,102,66
Lemon yellow,199,180,70
Oyster white,234,230,202
Ivory,225,204,79
Light ivory,230,214,144
Sulfur yellow,237,255,33
Saffron yellow,245,208,51
Zinc yellow,248,243,53
Grey beige,158,151,100
Olive yellow,153,153,80
Rape yellow,243,218,11
Traffic yellow,250,210,1
Ochre yellow,174,160,75
Luminous yellow,255,255,0
Curry,157,145,1
Melon yellow,244,169,0
Broom yellow,214,174,1
Dahlia yellow,243,165,5
Pastel yellow,239,169,74
Pearl beige,106,93,77
Pearl gold,112,83,53
Sun yellow,243,159,24
Yellow orange,237,118,14
Red orange,201,60,32
Vermilion,203,40,33
Pastel orange,255,117,20
Pure orange,244,70,17
Luminous orange,255,35,1
Luminous bright orange,255,164,32
Bright red orange,247,94,37
Traffic orange,245,64,33
Signal orange,216,75,32
Deep orange,236,124,38
Salmon orange,235,106,14
Pearl orange,195,88,49
Flame red,175,43,30
Signal red,165,32,25
Carmine red,162,35,29
Ruby red,155,17,30
Purple red,117,21,30
Wine red,94,33,41
Black red,65,34,39
Oxide red,100,36,36
Brown red,120,31,25
Beige red,193,135,107
Tomato red,161,35,18
Antique pink,211,110,112
Light pink,234,137,154
Coral red,179,40,33
Rose,230,50,68
Strawberry red,213,48,50
Traffic red,204,6,5
Salmon pink,217,80,48
Luminous red,248,0,0
Luminous bright red,254,0,0
Raspberry red,197,29,52
Pure red,203,50,52
Orient red,179,36,40
Pearl ruby red,114,20,34
Pearlpink,180,76,67
Red lilac,109,63,91
Red violet,146,43,62
Heather violet,222,76,138
Claret violet,110,28,52
Blue lilac,108,70,117
Traffic purple,160,52,114
Purple violet,74,25,44
Signal violet,144,70,132
Pastel violet,164,125,144
Telemagenta,215,45,109
Pearl violet,134,115,161
Pearl black berry,108,104,129
Violet blue,42,46,75
Green blue,31,52,56
Ultramarine blue,32,33,79
Saphire blue,29,30,51
Black blue,24,23,28
Signal blue,30,45,110
Brillant blue,62,95,138
Grey blue,38,37,45
Azure blue,2,86,105
Gentian blue,14,41,75
Steel blue,35,26,36
Light blue,59,131,189
Cobalt blue,37,41,74
Pigeon blue,96,111,140
Sky blue,34,113,179
Traffic blue,6,57,113
Turquoise blue,63,136,143
Capri blue,27,85,131
Ocean blue,29,51,74
Water blue,37,109,123
Night blue,37,40,80
Distant blue,73,103,141
Pastel blue,93,155,155
Pearl gentian blue,42,100,120
Pearl night blue,16,44,84
Patina green,49,102,80
Emerald green,40,114,51
Leaf green,45,87,44
Olive green,66,70,50
Blue green,31,58,61
Moss green,47,69,56
Grey olive,62,59,50
Bottle green,52,59,41
Brown green,57,53,42
Fir green,49,55,43
Grass green,53,104,45
Reseda green,88,114,70
Black green,52,62,64
Reed green,108,113,86
Yellow olive,71,64,46
Black olive,59,60,54
Turquoise green,30,89,69
May green,76,145,65
Yellow green,87,166,57
Pastel green,189,236,182
Chrome green,46,58,35
Pale green,137,172,118
Olive drab,37,34,27
Traffic green,48,132,70
Fern green,61,100,45
Opal green,1,93,82
Light green,132,195,190
Pine green,44,85,69
Mint green,32,96,61
Signal green,49,127,67
Mint turquoise,73,126,118
Pastel turquoise,127,181,181
Pearl green,28,84,45
Pearl opal green,22,53,55
Pure green,0,143,57
Luminous green,0,187,45
Squirrel grey,120,133,139
Silver grey,138,149,151
Olive grey,126,123,82
Moss grey,108,112,89
Signal grey,150,153,146
Mouse grey,100,107,99
Beige grey,109,101,82
Khaki grey,106,95,49
Green grey,77,86,69
Tarpaulin grey,76,81,74
Iron grey,67,75,77
Basalt grey,78,87,84
Brown grey,70,69,49
Slate grey,67,71,80
Anthracite grey,41,49,51
Black grey,35,40,43
Umbra grey,51,47,44
Concrete grey,104,108,94
Graphite grey,71,74,81
Granite grey,47,53,59
Stone grey,139,140,122
Blue grey,71,75,78
Pebble grey,184,183,153
Cement grey,125,132,113
Yellow grey,143,139,102
Light grey,203,208,204
Platinum grey,127,118,121
Dusty grey,125,127,120
Agate grey,195,195,195
Quartz grey,108,105,96
Window grey,157,161,170
Traffic grey A,141,148,141
Traffic grey B,78,84,82
Silk grey,202,196,176
Telegrey 1,144,144,144
Telegrey 2,130,137,143
Telegrey 4,208,208,208
Pearl mouse grey,137,129,118
Green brown,130,108,52
Ochre brown,149,95,32
Signal brown,108,59,42
Clay brown,115,66,34
Copper brown,142,64,42
Fawn brown,89,53,31
Olive brown,111,79,40
Nut brown,91,58,41
Red brown,89,35,33
Sepia brown,56,44,30
Chestnut brown,99,58,52
Mahogany brown,76,47,39
Chocolate brown,69,50,46
Grey brown,64,58,58
Black brown,33,33,33
Orange brown,166,94,46
Beige brown,121,85,61
Pale brown,117,92,72
Terra brown,78,59,49
Pearl copper,118,60,40
Cream,250,244,227
Grey white,231,235,218
Signal white,244,244,244
Signal black,40,40,40
Jet black,10,10,13
White aluminium,165,165,165
Grey aluminium,143,143,143
Pure white,255,255,255
Graphite black,28,28,28
Traffic white,246,246,246
Traffic black,30,30,30
Papyrus white,207,211,205
Pearl light grey,156,156,156
Pearl dark grey,130,130,130
